Date,Close,RSI,BB_Upper,BB_Middle,BB_Lower,Signal,Action,Shares_Traded,Trade_Value,Shares_Held,Cash,Portfolio_Value
2024-01-01,149.64,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-02,149.21,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-03,148.93,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-04,150.68,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-05,150.37,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-06,146.62,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-07,147.45,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-08,146.78,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-09,146.24,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-10,146.53,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-11,147.11,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-12,150.02,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-13,151.66,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-14,151.94,,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-15,150.09,58.06,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-16,147.56,52.81,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-17,148.17,46.18,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-18,151.45,42.53,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-19,151.55,52.73,,,,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-20,151.29,65.3,152.995,149.1645,145.334,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-21,152.62,62.36,153.4277,149.3135,145.1993,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-22,148.98,68.02,153.4186,149.302,145.1854,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-23,148.2,57.1,153.4075,149.2655,145.1235,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-24,149.43,54.22,153.2951,149.203,145.1109,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-25,151.61,55.68,153.4622,149.265,145.0678,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-26,151.01,54.03,153.5629,149.4845,145.4061,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-27,151.95,48.26,153.8106,149.7095,145.6084,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-28,152.57,50.03,154.0492,149.999,145.9488,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-29,154.53,56.85,154.5362,150.4135,146.2908,HOLD,HOLD,0,0.0,0,10000.0,10000.0
2024-01-30,151.75,69.88,154.4248,150.6745,146.9242,HOLD,HOLD,0,0.0,0,10000.0,10000.0
